timestamp,open,high,low,close,volume
2026-03-16 04:03:00,250.8,250.8,250.66,250.66,218
2026-03-16 04:07:00,250.93,250.94,250.93,250.94,205
2026-03-16 04:10:00,251.14,251.14,251.14,251.14,161
2026-03-16 04:11:00,251.19,251.19,251.19,251.19,107
2026-03-16 04:14:00,251,251,251,251,982
2026-03-16 04:15:00,250.9,250.9,250.9,250.9,300
2026-03-16 04:19:00,250.7,250.7,250.68,250.68,1323
2026-03-16 04:20:00,250.66,250.66,250.63,250.66,582
2026-03-16 04:21:00,250.68,250.68,250.68,250.68,200
2026-03-16 04:23:00,250.79,250.79,250.79,250.79,998
2026-03-16 04:26:00,250.66,250.66,250.66,250.66,154
2026-03-16 04:33:00,250.68,250.68,250.68,250.68,106
2026-03-16 04:35:00,250.6,250.6,250.58,250.58,244
2026-03-16 04:40:00,250.51,250.51,250.51,250.51,100
2026-03-16 04:42:00,250.7,250.7,250.7,250.7,100
2026-03-16 04:43:00,250.69,250.69,250.69,250.69,125
2026-03-16 04:44:00,250.7,250.7,250.7,250.7,200
2026-03-16 04:47:00,250.71,250.71,250.71,250.71,299
2026-03-16 04:48:00,250.7,250.7,250.7,250.7,100
2026-03-16 04:52:00,250.62,250.64,250.62,250.64,1233
2026-03-16 04:57:00,250.61,250.61,250.61,250.61,100
2026-03-16 05:04:00,250.55,250.55,250.55,250.55,552
2026-03-16 05:05:00,250.51,250.51,250.5,250.5,698
2026-03-16 05:12:00,250.55,250.55,250.53,250.53,200
2026-03-16 05:18:00,250.4,250.46,250.4,250.46,749
2026-03-16 05:20:00,250.5,250.5,250.5,250.5,575
2026-03-16 05:21:00,250.54,250.54,250.54,250.54,100
2026-03-16 05:23:00,250.58,250.58,250.58,250.58,100
2026-03-16 05:29:00,250.63,250.65,250.63,250.65,250
2026-03-16 05:47:00,250.45,250.45,250.45,250.45,125
2026-03-16 05:48:00,250.43,250.43,250.43,250.43,242
2026-03-16 05:58:00,250.38,250.38,250.38,250.38,200
2026-03-16 06:04:00,250.58,250.58,250.58,250.58,187
2026-03-16 06:10:00,250.84,250.95,250.84,250.95,300
2026-03-16 06:11:00,250.88,250.88,250.88,250.88,100
2026-03-16 06:14:00,250.93,250.93,250.93,250.93,154
2026-03-16 06:15:00,250.97,250.97,250.97,250.97,100
2026-03-16 06:20:00,250.89,250.89,250.89,250.89,274
2026-03-16 06:21:00,250.95,250.96,250.95,250.96,200
2026-03-16 06:22:00,251,251,251,251,100
2026-03-16 06:24:00,251.03,251.03,251.03,251.03,200
2026-03-16 06:26:00,251.2,251.2,251.2,251.2,102
2026-03-16 06:27:00,251.22,251.37,251.22,251.37,302
2026-03-16 06:28:00,251.29,251.29,251.29,251.29,100
2026-03-16 06:32:00,251.13,251.13,251.13,251.13,108
2026-03-16 06:42:00,251.37,251.39,251.37,251.39,318
2026-03-16 06:49:00,251.1,251.1,251.09,251.1,554
2026-03-16 06:53:00,251.2,251.42,251.13,251.42,1330
2026-03-16 06:55:00,251.29,251.6,251.29,251.6,1509
2026-03-16 06:56:00,251.64,251.79,251.63,251.72,1780
2026-03-16 06:57:00,251.43,251.43,251.41,251.41,576
2026-03-16 06:58:00,251.44,251.44,251.35,251.36,1150
2026-03-16 07:00:00,251.24,251.24,251.01,251.2,5040
2026-03-16 07:01:00,251.13,251.13,251.1,251.1,1712
2026-03-16 07:02:00,251.14,251.14,251.02,251.12,855
2026-03-16 07:03:00,251.1,251.1,251.1,251.1,300
2026-03-16 07:05:00,251.17,251.17,251.09,251.09,457
