timestamp,open,high,low,close,volume
2026-03-16 04:00:00,624.05,624.36,622,623.5,7861
2026-03-16 04:01:00,623.74,625.6,623.5,625.6,8095
2026-03-16 04:02:00,625.83,629.98,625.83,629,9474
2026-03-16 04:03:00,628.02,628.44,627.5,627.9,2966
2026-03-16 04:04:00,627.88,628.57,627.16,628.49,3432
2026-03-16 04:05:00,628.6,628.6,627.5,627.6,5400
2026-03-16 04:06:00,627.9,628,627.6,627.6,1805
2026-03-16 04:07:00,627.85,628.44,627.85,628.06,1820
2026-03-16 04:08:00,627.91,629,627.91,629,2373
2026-03-16 04:09:00,628.98,630,628.98,630,4156
2026-03-16 04:10:00,630.24,630.52,629.96,630.46,1629
2026-03-16 04:11:00,630.46,630.98,630.3,630.3,363
2026-03-16 04:12:00,630,630,629.57,629.65,1718
2026-03-16 04:13:00,629.5,629.65,629.49,629.49,238
2026-03-16 04:14:00,629.01,629.46,629,629,1388
2026-03-16 04:15:00,628.13,628.13,628.06,628.06,289
2026-03-16 04:16:00,628.6,629.01,628.59,629.01,1841
2026-03-16 04:17:00,629.34,629.5,629.01,629.01,400
2026-03-16 04:18:00,628.94,629.2,628.82,629.2,793
2026-03-16 04:19:00,628.73,629,628.73,629,260
2026-03-16 04:20:00,628.88,629.56,628.88,629.56,1883
2026-03-16 04:21:00,629.7,630.08,629.7,629.91,1680
2026-03-16 04:22:00,629.91,629.99,629.9,629.99,690
2026-03-16 04:23:00,630.4,630.7,630.19,630.19,286
2026-03-16 04:24:00,630.23,630.56,630.01,630.37,947
2026-03-16 04:25:00,630.59,630.59,630,630,222
2026-03-16 04:26:00,629.65,629.65,629.4,629.4,266
2026-03-16 04:27:00,629.11,629.31,629.11,629.2,491
2026-03-16 04:28:00,629.4,630,629.4,629.97,1592
2026-03-16 04:29:00,630.01,630.29,629.8,629.8,1415
2026-03-16 04:30:00,629.8,629.8,629.26,629.26,336
2026-03-16 04:31:00,629.5,629.5,629.3,629.3,170
2026-03-16 04:32:00,629.3,629.3,629.3,629.3,1014
2026-03-16 04:33:00,629.3,629.3,628.5,628.5,1445
2026-03-16 04:35:00,628.5,628.5,628.5,628.5,153
2026-03-16 04:36:00,628.5,628.6,628.5,628.6,126
2026-03-16 04:37:00,628.3,628.5,628.16,628.5,622
2026-03-16 04:38:00,628.5,628.5,628.5,628.5,128
2026-03-16 04:39:00,628.51,628.51,628.5,628.5,970
2026-03-16 04:40:00,628.51,628.62,628.11,628.62,704
2026-03-16 04:41:00,628.39,629.01,628.39,629.01,360
2026-03-16 04:42:00,628.99,630.06,628.99,630.06,1571
2026-03-16 04:43:00,630,630.01,630,630.01,300
2026-03-16 04:44:00,630.01,630.07,630,630,1786
2026-03-16 04:45:00,630.12,630.24,630,630,1174
2026-03-16 04:46:00,630.12,630.12,630,630,1620
2026-03-16 04:47:00,630,630.39,630,630.39,723
2026-03-16 04:48:00,630.39,630.6,630.39,630.6,1118
2026-03-16 04:49:00,630.59,630.6,630.59,630.59,287
2026-03-16 04:50:00,630.35,631.23,630.35,631,4716
2026-03-16 04:51:00,630.18,630.18,630.18,630.18,50
2026-03-16 04:56:00,630.5,630.5,630.34,630.34,105
2026-03-16 04:57:00,630.06,630.06,629.56,629.56,550
2026-03-16 05:00:00,629.62,630.1,629.57,630.05,420
2026-03-16 05:01:00,630,630.27,630,630.27,370
2026-03-16 05:02:00,630.27,630.27,630.27,630.27,100
2026-03-16 05:03:00,630.19,631.4,630.19,631.35,2412
2026-03-16 05:04:00,631.3,631.3,631.2,631.21,280
2026-03-16 05:05:00,631.04,631.2,631,631.01,707
2026-03-16 05:06:00,631.01,631.38,631,631,483
2026-03-16 05:07:00,631,631.02,631,631,7054
2026-03-16 05:08:00,631,631,630.99,630.99,594
2026-03-16 05:09:00,630.87,631,630.87,631,652
2026-03-16 05:10:00,631.48,633,631.48,632.99,3902
2026-03-16 05:11:00,633,633.69,630.81,632.36,1333
2026-03-16 05:12:00,632.97,633.6,632.97,633.6,535
2026-03-16 05:13:00,633.59,633.6,633.59,633.6,122
2026-03-16 05:14:00,633.82,633.82,633.82,633.82,50
2026-03-16 05:15:00,632.99,633.14,632.99,633.01,4618
2026-03-16 05:16:00,633,633,632.81,633,272
2026-03-16 05:17:00,633,633,633,633,347
2026-03-16 05:18:00,633,633.06,633,633,1250
2026-03-16 05:19:00,633.01,633.28,633,633,524
2026-03-16 05:20:00,633.01,633.5,633,633,2059
2026-03-16 05:21:00,633.02,633.15,633,633.15,251
2026-03-16 05:22:00,633.1,633.1,633.1,633.1,51
2026-03-16 05:23:00,633,633.23,633,633,1553
2026-03-16 05:24:00,633,633.02,633,633,2033
2026-03-16 05:25:00,633,633.32,632.97,633.32,2780
2026-03-16 05:26:00,633.06,633.06,633.02,633.02,161
2026-03-16 05:27:00,633,633.2,633,633,151
2026-03-16 05:28:00,633,633,632.51,633,1854
2026-03-16 05:29:00,633,633.01,632.98,633,1740
2026-03-16 05:30:00,633,633.01,633,633,2666
2026-03-16 05:31:00,633,633.15,632.5,632.5,4829
2026-03-16 05:32:00,631.26,631.26,631,631.2,3529
2026-03-16 05:33:00,631.46,631.47,631,631,1996
2026-03-16 05:34:00,631.05,631.25,631,631.25,4632
2026-03-16 05:35:00,631.25,631.31,631.25,631.31,91
2026-03-16 05:36:00,631.36,632,631.36,632,1176
2026-03-16 05:37:00,632,632,631.77,631.77,334
2026-03-16 05:38:00,631.4,632,631.4,631.99,940
2026-03-16 05:39:00,632,632.98,632,632.98,1695
2026-03-16 05:40:00,632.5,632.5,632,632,784
2026-03-16 05:41:00,632.2,632.94,631.75,632.94,1449
2026-03-16 05:43:00,632.32,632.76,631.75,632.76,375
2026-03-16 05:44:00,632.25,632.25,632.25,632.25,420
2026-03-16 05:46:00,631.75,632.5,631.75,632.5,1406
2026-03-16 05:47:00,632.2,632.2,632.2,632.2,160
2026-03-16 05:49:00,632.33,632.33,632.32,632.32,160
2026-03-16 05:51:00,632,632.25,632,632,934
2026-03-16 05:52:00,632,632,631.5,631.5,1761
2026-03-16 05:53:00,631.58,631.58,631.5,631.5,1065
2026-03-16 05:54:00,631.33,631.33,631.25,631.25,157
2026-03-16 05:55:00,631.26,631.5,631.25,631.5,219
2026-03-16 05:56:00,631.45,631.45,631.45,631.45,80
2026-03-16 05:57:00,631.25,631.25,631,631,712
2026-03-16 05:58:00,631.01,631.15,631,631,2828
2026-03-16 05:59:00,631,631,631,631,49
2026-03-16 06:00:00,631.02,632.68,631,631,6877
2026-03-16 06:01:00,632.3,632.3,632,632.21,1994
2026-03-16 06:02:00,632.2,632.57,631.06,631.06,2351
2026-03-16 06:03:00,631.12,631.75,631,631.32,2270
2026-03-16 06:04:00,631.17,631.17,631,631.07,515
2026-03-16 06:05:00,631.69,631.75,631.13,631.13,646
2026-03-16 06:06:00,631.15,631.15,631.15,631.15,40
2026-03-16 06:07:00,631.15,631.15,631.03,631.15,200
2026-03-16 06:08:00,631.05,631.05,631.05,631.05,91
2026-03-16 06:09:00,631.13,631.3,631.06,631.3,736
2026-03-16 06:10:00,631.3,631.3,631.06,631.06,248
2026-03-16 06:11:00,631.11,631.27,631.11,631.27,99
2026-03-16 06:12:00,631,631,630,630,867
2026-03-16 06:13:00,630.03,630.03,629.78,629.78,682
2026-03-16 06:14:00,629.51,629.69,629.51,629.69,155
2026-03-16 06:15:00,630.25,630.45,630.25,630.45,864
2026-03-16 06:16:00,630,630,630,630,40
2026-03-16 06:17:00,629.85,629.9,629.5,629.69,1498
2026-03-16 06:18:00,629.51,629.51,629.51,629.51,63
2026-03-16 06:19:00,630,630.25,629.75,629.75,1649
2026-03-16 06:20:00,630,630.43,630,630.43,614
2026-03-16 06:21:00,631.04,631.04,631.04,631.04,40
2026-03-16 06:22:00,631,631,630.9,630.9,303
2026-03-16 06:23:00,630.9,630.9,630.9,630.9,44
2026-03-16 06:24:00,630.5,630.5,630.5,630.5,60
2026-03-16 06:25:00,630.47,630.49,630.43,630.49,329
2026-03-16 06:26:00,630.385,630.49,630.385,630.49,294
2026-03-16 06:27:00,630.9,631.2,630.89,631.2,1586
2026-03-16 06:28:00,631.3,631.3,631.21,631.3,295
2026-03-16 06:29:00,631.21,631.4,631.21,631.4,233
2026-03-16 06:30:00,631.3,631.3,631.21,631.21,202
2026-03-16 06:31:00,631,631,630.07,630.07,150
2026-03-16 06:32:00,630.6,630.6,630.5,630.5,150
2026-03-16 06:33:00,630.97,631,630.95,631,676
2026-03-16 06:34:00,631.33,631.4,631.33,631.39,580
2026-03-16 06:35:00,631.42,631.77,631.22,631.25,2231
2026-03-16 06:38:00,630.5,630.5,630.01,630.15,322
2026-03-16 06:40:00,630.31,630.31,630.31,630.31,63
2026-03-16 06:42:00,631,631.5,631,631.5,257
2026-03-16 06:43:00,631.25,631.77,631.25,631.72,465
2026-03-16 06:44:00,630.5,630.5,630,630,242
2026-03-16 06:45:00,630.56,631.08,629.5,631.02,3101
2026-03-16 06:46:00,630.32,631.01,630.32,631.01,497
2026-03-16 06:47:00,630.86,630.86,630.86,630.86,96
2026-03-16 06:48:00,631.5,631.5,631.5,631.5,105
2026-03-16 06:49:00,631.49,631.49,631.4,631.4,223
2026-03-16 06:50:00,631.65,631.65,631.65,631.65,70
2026-03-16 06:51:00,631.5,631.51,631,631.44,2115
2026-03-16 06:52:00,631.1,631.1,631.09,631.09,100
2026-03-16 06:53:00,631,631.1,630.39,630.63,773
2026-03-16 06:55:00,630.99,631.5,630.99,631.5,758
2026-03-16 06:56:00,631.01,631.02,631,631,545
2026-03-16 06:57:00,631.42,631.78,631.42,631.74,611
2026-03-16 06:58:00,631,631,631,631,45
2026-03-16 06:59:00,631,631,630.31,630.31,1299
2026-03-16 07:00:00,630.3,630.3,628.88,629.05,11127
2026-03-16 07:01:00,629.05,629.17,628,628.41,3605
2026-03-16 07:02:00,628.5,629.17,628.5,629.17,3162
2026-03-16 07:03:00,628.96,628.96,628,628.5,4774
2026-03-16 07:04:00,628.1,629,628.1,628.66,1152
2026-03-16 07:05:00,628.65,629,628.6,629,1328
2026-03-16 07:06:00,628.74,629,628.2,628.2,994
2026-03-16 07:07:00,628.25,628.5,628.04,628.2,4041
2026-03-16 07:08:00,628.2,628.59,628.2,628.49,570
2026-03-16 07:09:00,628.54,629.02,628.54,629.02,1655
2026-03-16 07:10:00,629,629.33,629,629.06,236
2026-03-16 07:11:00,629.33,629.74,629.33,629.45,1226
2026-03-16 07:12:00,629.5,629.5,629.4,629.4,272
2026-03-16 07:13:00,629.53,631,629.25,630,6883
2026-03-16 07:14:00,630,630,629.85,630,511
2026-03-16 07:15:00,630.5,631.05,630.25,631.05,2440
2026-03-16 07:16:00,631.06,631.3,630.96,631.06,2073
2026-03-16 07:17:00,630.75,630.93,630.56,630.56,432
2026-03-16 07:18:00,630.7,630.73,630.5,630.71,1066
2026-03-16 07:19:00,630.53,630.75,630.53,630.75,402
2026-03-16 07:20:00,630.5,630.6,630.5,630.6,459
2026-03-16 07:21:00,630.51,630.51,630.25,630.25,568
2026-03-16 07:22:00,630.25,630.25,629.94,629.94,655
2026-03-16 07:23:00,630.2,630.25,629.88,629.9,2576
2026-03-16 07:24:00,630.43,630.5,630.43,630.5,462
2026-03-16 07:25:00,630.19,630.19,630.19,630.19,183
2026-03-16 07:26:00,630.19,630.19,629.9,629.9,1356
2026-03-16 07:27:00,630.05,630.05,629.55,629.55,3418
2026-03-16 07:28:00,629.4,629.5,629,629,1750
2026-03-16 07:29:00,629.33,629.5,629.25,629.25,614
2026-03-16 07:30:00,629.37,629.7,629.35,629.7,530
2026-03-16 07:31:00,629.6,629.9,629.6,629.9,463
2026-03-16 07:32:00,629.9,630,629.9,630,850
2026-03-16 07:34:00,630,630,629,629,1707
2026-03-16 07:35:00,629,629,629,629,48
2026-03-16 07:37:00,629.7,629.7,629.7,629.7,75
2026-03-16 07:38:00,629.63,629.63,629.5,629.5,140
2026-03-16 07:39:00,629.5,629.5,629.5,629.5,70
2026-03-16 07:40:00,629.6,629.8,629.6,629.8,142
2026-03-16 07:41:00,629.78,629.78,629.78,629.78,98
2026-03-16 07:42:00,630,631,630,631,3427
2026-03-16 07:43:00,630.97,631.5,630.85,631.5,3377
2026-03-16 07:44:00,631.5,631.5,631.32,631.32,345
2026-03-16 07:45:00,631.25,631.25,631.19,631.19,160
2026-03-16 07:46:00,631.13,631.13,631.13,631.13,75
2026-03-16 07:47:00,631.17,631.2,631.17,631.2,205
2026-03-16 07:49:00,630.95,630.95,630.95,630.95,83
2026-03-16 07:50:00,631.19,631.33,631.19,631.27,264
2026-03-16 07:51:00,631.01,631.25,630.99,631.25,3277
2026-03-16 07:52:00,631.23,631.25,630.99,631,667
2026-03-16 07:53:00,630.78,630.84,630.5,630.75,972
2026-03-16 07:54:00,630.45,630.45,630,630,786
2026-03-16 07:55:00,630.07,630.52,630.01,630.52,1540
2026-03-16 07:56:00,630.01,630.01,630.01,630.01,184
2026-03-16 07:57:00,630.02,630.02,630,630,1773
2026-03-16 07:58:00,630,630,629.63,629.63,1272
2026-03-16 07:59:00,629.51,629.8,629.51,629.8,150
2026-03-16 08:00:00,629.2,633.5,623.01,629.99,85920
2026-03-16 08:01:00,623,630.02,620.58,630.01,19952
2026-03-16 08:02:00,630.12,631,627.22,631,8539
2026-03-16 08:03:00,630.5,630.5,611.653,630.5,1420
2026-03-16 08:04:00,630.78,631.063,630.56,631.063,1058
2026-03-16 08:05:00,631,631.35,631,631.35,1784
2026-03-16 08:06:00,631.39,631.84,621.66,631.28,3086
2026-03-16 08:07:00,631.47,632.45,631.47,631.91,4638
2026-03-16 08:08:00,632.21,632.5,631.8,631.8,3190
2026-03-16 08:09:00,631.71,631.98,631.71,631.9,1286
2026-03-16 08:10:00,631.61,631.8648,631,631.1501,1806
2026-03-16 08:11:00,631.15,631.15,630,630.0001,1474
2026-03-16 08:12:00,631,631.15,630.6363,630.9,931
2026-03-16 08:13:00,631.06,631.35,631,631.065,1367
2026-03-16 08:14:00,631.5,631.5,631,631.25,1708
2026-03-16 08:15:00,631.24,631.31,631.01,631.01,862
2026-03-16 08:16:00,631,631.7465,631,631.7465,2133
2026-03-16 08:17:00,631.5,631.5,631,631,1039
2026-03-16 08:18:00,631.25,631.35,631.0648,631.35,1581
2026-03-16 08:19:00,631.25,631.82,631.25,631.8,3115
2026-03-16 08:20:00,631.72,631.84,631.51,631.7,1313
2026-03-16 08:21:00,631.6,631.6,631.24,631.45,2316
2026-03-16 08:22:00,631.23,631.5,631.11,631.25,1742
