date,company,price
2015-01-04,BAJFINANCE,41.0
2015-01-04,JSWSTEEL,90.55
2015-01-04,KOTAKBANK,136.2
2015-01-04,NIFTY 50,8590.3
2015-01-04,NIFTY BANK,18633.75
2015-01-04,ONGC,185.25
2015-01-04,TATAPOWER,77.8
2015-01-04,TATASTEEL,28.0
2015-01-04,TITAN,390.25
2015-01-04,WIPRO,113.55
2015-01-06,BAJFINANCE,44.0
2015-01-06,JSWSTEEL,91.0
2015-01-06,KOTAKBANK,139.1
2015-01-06,NIFTY 50,8422.55
2015-01-06,NIFTY BANK,18611.65
2015-01-06,ONGC,195.2
2015-01-06,TATAPOWER,75.9
2015-01-06,TATASTEEL,28.68
2015-01-06,TITAN,376.0
2015-01-06,WIPRO,100.9
2015-01-07,BAJFINANCE,55.0
2015-01-07,JSWSTEEL,89.12
2015-01-07,KOTAKBANK,142.1
2015-01-07,NIFTY 50,8462.5
2015-01-07,NIFTY BANK,18606.7
2015-01-07,ONGC,189.05
2015-01-07,TATAPOWER,75.05
2015-01-07,TATASTEEL,26.48
2015-01-07,TITAN,361.6
2015-01-07,WIPRO,99.7
2015-01-09,BAJFINANCE,50.0
2015-01-09,JSWSTEEL,89.8
2015-01-09,KOTAKBANK,122.7
2015-01-09,NIFTY 50,7781.4
2015-01-09,NIFTY BANK,16521.35
2015-01-09,ONGC,140.95
2015-01-09,TATAPOWER,60.55
2015-01-09,TATASTEEL,17.64
2015-01-09,TITAN,335.8
2015-01-09,WIPRO,101.35
2015-01-10,BAJFINANCE,51.0
2015-01-10,JSWSTEEL,87.39
2015-01-10,KOTAKBANK,128.4
2015-01-10,NIFTY 50,7947.1
2015-01-10,NIFTY BANK,17147.15
2015-01-10,ONGC,139.85
2015-01-10,TATAPOWER,66.0
2015-01-10,TATASTEEL,17.25
2015-01-10,TITAN,327.5
2015-01-10,WIPRO,107.6
2015-01-12,BAJFINANCE,56.0
2015-01-12,JSWSTEEL,94.72
2015-01-12,KOTAKBANK,138.2
2015-01-12,NIFTY 50,7955.15
2015-01-12,NIFTY BANK,17395.55
2015-01-12,ONGC,141.65
2015-01-12,TATAPOWER,66.4
2015-01-12,TATASTEEL,19.79
2015-01-12,TITAN,378.65
2015-01-12,WIPRO,104.6
2015-02-02,AXISBANK,620.9
2015-02-02,BAJFINANCE,41.5
2015-02-02,JSWSTEEL,99.89
2015-02-02,KOTAKBANK,135.5
2015-02-02,NIFTY 50,8798.15
2015-02-02,NIFTY BANK,19902.9
2015-02-02,ONGC,210.25
2015-02-02,TATAPOWER,90.85
2015-02-02,TATASTEEL,34.01
2015-02-02,TCS,1258.0
2015-02-02,TITAN,433.35
2015-02-02,WIPRO,112.45
2015-02-03,AXISBANK,584.7
2015-02-03,BAJFINANCE,43.5
2015-02-03,JSWSTEEL,100.47
2015-02-03,KOTAKBANK,140.6
2015-02-03,NIFTY 50,8961.55
2015-02-03,NIFTY BANK,20010.55
2015-02-03,ONGC,193.05
2015-02-03,TATAPOWER,86.25
2015-02-03,TATASTEEL,30.93
2015-02-03,TCS,1276.13
2015-02-03,TITAN,411.45
2015-02-03,WIPRO,119.15
2015-02-04,AXISBANK,561.0
2015-02-04,TCS,1257.48
2015-02-05,AXISBANK,568.0
2015-02-05,TCS,1276.5
2015-02-06,AXISBANK,565.0
2015-02-06,BAJFINANCE,43.0
2015-02-06,JSWSTEEL,87.31
2015-02-06,KOTAKBANK,135.8
2015-02-06,NIFTY 50,8232.25
2015-02-06,NIFTY BANK,17953.45
2015-02-06,ONGC,192.45
2015-02-06,TATAPOWER,74.55
2015-02-06,TATASTEEL,27.85
2015-02-06,TCS,1288.5
2015-02-06,TITAN,369.4
2015-02-06,WIPRO,98.85
2015-02-07,BAJFINANCE,54.5
2015-02-07,JSWSTEEL,88.55
2015-02-07,KOTAKBANK,143.3
2015-02-07,NIFTY 50,8440.95
2015-02-07,NIFTY BANK,18586.15
2015-02-07,ONGC,187.1
2015-02-07,TATAPOWER,75.15
2015-02-07,TATASTEEL,26.24
2015-02-07,TITAN,354.0
2015-02-07,WIPRO,99.45
2015-02-09,AXISBANK,550.0
2015-02-09,BAJFINANCE,50.0
2015-02-09,JSWSTEEL,89.22
2015-02-09,KOTAKBANK,121.6
2015-02-09,NIFTY 50,7727.65
2015-02-09,NIFTY BANK,16258.85
2015-02-09,ONGC,135.75
2015-02-09,TATAPOWER,58.45
2015-02-09,TATASTEEL,18.03
2015-02-09,TITAN,324.0
2015-02-09,WIPRO,100.35
2015-02-10,AXISBANK,556.4
2015-02-10,TCS,1222.75
2015-02-11,AXISBANK,570.05
2015-02-11,BAJFINANCE,52.0
2015-02-11,JSWSTEEL,89.48
2015-02-11,KOTAKBANK,137.0
2015-02-11,NIFTY 50,8050.95
2015-02-11,NIFTY BANK,17339.25
2015-02-11,ONGC,149.7
2015-02-11,TATAPOWER,68.95
2015-02-11,TATASTEEL,19.79
2015-02-11,TCS,1230.0
2015-02-11,TITAN,356.65
2015-02-11,WIPRO,103.2
2015-02-12,AXISBANK,581.5
2015-02-12,BAJFINANCE,55.5
2015-02-12,JSWSTEEL,98.02
2015-02-12,KOTAKBANK,135.6
2015-02-12,NIFTY 50,7924.25
2015-02-12,NIFTY BANK,17195.15
2015-02-12,ONGC,141.7
2015-02-12,TATAPOWER,66.1
2015-02-12,TATASTEEL,20.28
2015-02-12,TCS,1234.5
2015-02-12,TITAN,376.65
2015-02-12,WIPRO,103.85
2015-02-13,AXISBANK,578.8
2015-02-13,TCS,1271.95
2015-02-16,AXISBANK,570.5
2015-02-16,TCS,1290.85
2015-02-18,AXISBANK,570.4
2015-02-18,TCS,1320.0
2015-02-19,AXISBANK,566.2
2015-02-19,TCS,1339.0
2015-02-20,AXISBANK,560.75
2015-02-20,TCS,1332.33
2015-02-23,AXISBANK,548.25
2015-02-23,TCS,1350.0
2015-02-24,AXISBANK,551.4
2015-02-24,TCS,1349.68
2015-02-25,AXISBANK,550.65
2015-02-25,TCS,1334.85
2015-02-26,AXISBANK,553.0
2015-02-26,TCS,1324.75
2015-02-27,AXISBANK,569.0
2015-02-27,TCS,1334.0
2015-02-28,AXISBANK,618.5
2015-02-28,TCS,1339.78
2015-03-02,AXISBANK,649.0
2015-03-02,BAJFINANCE,42.0
2015-03-02,JSWSTEEL,98.01
2015-03-02,KOTAKBANK,130.0
2015-03-02,NIFTY 50,8746.65
2015-03-02,NIFTY BANK,19329.95
2015-03-02,ONGC,216.4
2015-03-02,TATAPOWER,87.45
2015-03-02,TATASTEEL,33.66
2015-03-02,TCS,1336.5
2015-03-02,TITAN,432.35
2015-03-02,WIPRO,111.45
2015-03-03,AXISBANK,632.75
2015-03-03,BAJFINANCE,43.0
2015-03-03,JSWSTEEL,100.2
2015-03-03,KOTAKBANK,141.0
2015-03-03,NIFTY 50,8996.75
2015-03-03,NIFTY BANK,19962.8
2015-03-03,ONGC,194.05
2015-03-03,TATAPOWER,87.3
2015-03-03,TATASTEEL,30.93
2015-03-03,TCS,1392.55
2015-03-03,TITAN,414.25
2015-03-03,WIPRO,120.75
2015-03-04,AXISBANK,610.0
2015-03-04,TCS,1370.0
2015-03-05,AXISBANK,616.8
2015-03-05,TCS,1345.05
2015-03-06,BAJFINANCE,44.0
2015-03-06,JSWSTEEL,88.1
2015-03-06,KOTAKBANK,134.9
2015-03-06,NIFTY 50,8148.55
2015-03-06,NIFTY BANK,17783.75
2015-03-06,ONGC,186.15
2015-03-06,TATAPOWER,70.5
2015-03-06,TATASTEEL,27.46
2015-03-06,TITAN,364.3
2015-03-06,WIPRO,97.85
2015-03-07,BAJFINANCE,55.5
2015-03-07,JSWSTEEL,86.9
2015-03-07,KOTAKBANK,142.5
2015-03-07,NIFTY 50,8486.35
2015-03-07,NIFTY BANK,18746.7
2015-03-07,ONGC,186.35
2015-03-07,TATAPOWER,74.05
2015-03-07,TATASTEEL,25.9
2015-03-07,TITAN,356.2
2015-03-07,WIPRO,98.85
2015-03-08,BAJFINANCE,57.0
2015-03-08,JSWSTEEL,83.51
2015-03-08,KOTAKBANK,138.2
2015-03-08,NIFTY 50,8538.7
2015-03-08,NIFTY BANK,18895.5
2015-03-08,ONGC,164.35
2015-03-08,TATAPOWER,69.6
2015-03-08,TATASTEEL,20.72
2015-03-08,TITAN,316.7
2015-03-08,WIPRO,102.4
2015-03-09,AXISBANK,590.0
2015-03-09,BAJFINANCE,52.0
2015-03-09,JSWSTEEL,93.2
2015-03-09,KOTAKBANK,125.2
2015-03-09,NIFTY 50,7831.25
2015-03-09,NIFTY BANK,16555.5
2015-03-09,ONGC,138.25
2015-03-09,TATAPOWER,60.05
2015-03-09,TATASTEEL,18.91
2015-03-09,TCS,1324.5
2015-03-09,TITAN,329.0
2015-03-09,WIPRO,102.0
2015-03-10,AXISBANK,587.05
2015-03-10,TCS,1319.43
2015-03-11,AXISBANK,583.55
2015-03-11,BAJFINANCE,52.5
2015-03-11,JSWSTEEL,89.0
2015-03-11,KOTAKBANK,136.4
2015-03-11,NIFTY 50,8047.9
2015-03-11,NIFTY BANK,17284.5
2015-03-11,ONGC,151.5
2015-03-11,TATAPOWER,68.85
2015-03-11,TATASTEEL,19.45
2015-03-11,TCS,1303.23
2015-03-11,TITAN,348.0
2015-03-11,WIPRO,103.1
2015-03-12,AXISBANK,583.6
2015-03-12,BAJFINANCE,55.5
2015-03-12,JSWSTEEL,97.39
2015-03-12,KOTAKBANK,134.7
2015-03-12,NIFTY 50,7865.5
2015-03-12,NIFTY BANK,17098.0
2015-03-12,ONGC,138.2
2015-03-12,TATAPOWER,65.3
2015-03-12,TATASTEEL,19.94
2015-03-12,TCS,1307.5
2015-03-12,TITAN,372.1
2015-03-12,WIPRO,102.85
2015-03-13,AXISBANK,571.5
2015-03-13,TCS,1292.5
2015-03-16,AXISBANK,570.9
2015-03-16,TCS,1280.0
2015-03-17,AXISBANK,582.95
2015-03-17,TCS,1291.83
2015-03-18,AXISBANK,579.0
2015-03-18,TCS,1278.85
2015-03-19,AXISBANK,559.7
2015-03-19,TCS,1301.0
2015-03-20,AXISBANK,560.25
2015-03-20,TCS,1306.25
2015-03-23,AXISBANK,553.0
2015-03-23,TCS,1308.0
2015-03-24,AXISBANK,557.15
2015-03-24,TCS,1300.0
2015-03-25,AXISBANK,561.55
2015-03-25,TCS,1284.93
2015-03-26,AXISBANK,545.5
2015-03-26,TCS,1257.5
2015-03-27,AXISBANK,545.95
2015-03-27,TCS,1259.95
2015-03-30,AXISBANK,565.1
2015-03-30,TCS,1277.13
2015-03-31,AXISBANK,558.0
2015-03-31,TCS,1280.0
2015-04-01,AXISBANK,569.8
2015-04-01,TCS,1272.03
2015-04-02,BAJFINANCE,42.0
2015-04-02,JSWSTEEL,99.11
2015-04-02,KOTAKBANK,128.9
2015-04-02,NIFTY 50,8713.95
2015-04-02,NIFTY BANK,19157.05
2015-04-02,ONGC,221.75
2015-04-02,TATAPOWER,90.0
2015-04-02,TATASTEEL,34.35
2015-04-02,TITAN,430.9
2015-04-02,WIPRO,111.25
2015-04-03,BAJFINANCE,43.0
2015-04-03,JSWSTEEL,99.5
2015-04-03,KOTAKBANK,140.9
2015-04-03,NIFTY 50,8918.4
2015-04-03,NIFTY BANK,19608.7
2015-04-03,ONGC,192.95
2015-04-03,TATAPOWER,84.4
2015-04-03,TATASTEEL,30.34
2015-04-03,TITAN,411.5
2015-04-03,WIPRO,118.95
2015-04-05,BAJFINANCE,42.0
2015-04-05,JSWSTEEL,94.01
2015-04-05,KOTAKBANK,133.8
2015-04-05,NIFTY 50,8342.65
2015-04-05,NIFTY BANK,18512.95
2015-04-05,ONGC,198.65
2015-04-05,TATAPOWER,77.5
2015-04-05,TATASTEEL,32.25
2015-04-05,TITAN,386.95
2015-04-05,WIPRO,97.75
2015-04-06,AXISBANK,568.0
2015-04-06,BAJFINANCE,43.0
2015-04-06,JSWSTEEL,86.93
2015-04-06,KOTAKBANK,136.5
2015-04-06,NIFTY 50,8136.95
2015-04-06,NIFTY BANK,17715.05
2015-04-06,ONGC,181.85
2015-04-06,TATAPOWER,70.0
2015-04-06,TATASTEEL,26.48
2015-04-06,TCS,1274.15
2015-04-06,TITAN,360.55
2015-04-06,WIPRO,99.9
2015-04-07,AXISBANK,559.05
2015-04-07,TCS,1294.48
2015-04-08,AXISBANK,556.0
2015-04-08,BAJFINANCE,56.0
2015-04-08,JSWSTEEL,89.25
2015-04-08,KOTAKBANK,138.5
2015-04-08,NIFTY 50,8524.25
2015-04-08,NIFTY BANK,19003.15
2015-04-08,ONGC,160.9
2015-04-08,TATAPOWER,69.85
2015-04-08,TATASTEEL,21.74
2015-04-08,TCS,1323.03
2015-04-08,TITAN,316.0
2015-04-08,WIPRO,100.6
2015-04-09,AXISBANK,571.5
2015-04-09,BAJFINANCE,51.0
2015-04-09,JSWSTEEL,91.48
2015-04-09,KOTAKBANK,121.4
2015-04-09,NIFTY 50,7655.95
2015-04-09,NIFTY BANK,16147.1
2015-04-09,ONGC,136.3
2015-04-09,TATAPOWER,57.0
2015-04-09,TATASTEEL,17.88
2015-04-09,TCS,1331.3
2015-04-09,TITAN,334.0
2015-04-09,WIPRO,99.85
2015-04-10,AXISBANK,566.5
2015-04-10,TCS,1326.5
2015-04-11,BAJFINANCE,53.5
2015-04-11,JSWSTEEL,89.2
2015-04-11,KOTAKBANK,134.2
2015-04-11,NIFTY 50,8030.35
2015-04-11,NIFTY BANK,17186.6
2015-04-11,ONGC,151.85
2015-04-11,TATAPOWER,68.6
2015-04-11,TATASTEEL,19.4
2015-04-11,TITAN,349.2
2015-04-11,WIPRO,102.85
2015-04-12,BAJFINANCE,54.5
2015-04-12,JSWSTEEL,97.2
2015-04-12,KOTAKBANK,132.4
2015-04-12,NIFTY 50,7787.7
2015-04-12,NIFTY BANK,16922.4
2015-04-12,ONGC,137.05
2015-04-12,TATAPOWER,64.05
2015-04-12,TATASTEEL,19.98
2015-04-12,TITAN,366.75
2015-04-12,WIPRO,102.7
2015-04-13,AXISBANK,565.35
2015-04-13,TCS,1324.65
2015-04-15,AXISBANK,549.5
2015-04-15,TCS,1309.48
2015-04-16,AXISBANK,549.95
2015-04-16,TCS,1289.0
2015-04-17,AXISBANK,534.3
2015-04-17,TCS,1236.28
2015-04-20,AXISBANK,521.5
2015-04-20,TCS,1213.0
2015-04-21,AXISBANK,527.3
2015-04-21,TCS,1212.0
2015-04-22,AXISBANK,541.95
2015-04-22,TCS,1235.3
2015-04-23,AXISBANK,536.7
2015-04-23,TCS,1227.5
2015-04-24,AXISBANK,523.85
2015-04-24,TCS,1254.8
2015-04-27,AXISBANK,523.65
2015-04-27,TCS,1250.0
2015-04-28,AXISBANK,533.8
2015-04-28,TCS,1246.5
2015-04-29,AXISBANK,558.55
2015-04-29,TCS,1240.5
2015-04-30,AXISBANK,569.95
2015-04-30,TCS,1238.0
2015-05-02,BAJFINANCE,41.0
2015-05-02,JSWSTEEL,97.5
2015-05-02,KOTAKBANK,129.1
2015-05-02,NIFTY 50,8699.4
2015-05-02,NIFTY BANK,19047.85
2015-05-02,ONGC,214.4
2015-05-02,TATAPOWER,82.75
2015-05-02,TATASTEEL,33.47
2015-05-02,TITAN,419.4
2015-05-02,WIPRO,114.8
2015-05-03,BAJFINANCE,43.5
2015-05-03,JSWSTEEL,98.8
2015-05-03,KOTAKBANK,142.0
2015-05-03,NIFTY 50,8937.75
2015-05-03,NIFTY BANK,19760.25
2015-05-03,ONGC,192.7
2015-05-03,TATAPOWER,85.0
2015-05-03,TATASTEEL,30.0
2015-05-03,TITAN,405.5
2015-05-03,WIPRO,119.8
2015-05-04,AXISBANK,568.0
2015-05-04,TCS,1241.13
2015-05-05,AXISBANK,564.6
2015-05-05,BAJFINANCE,43.0
2015-05-05,JSWSTEEL,97.77
2015-05-05,KOTAKBANK,142.5
2015-05-05,NIFTY 50,8321.1
2015-05-05,NIFTY BANK,18457.9
2015-05-05,ONGC,205.95
2015-05-05,TATAPOWER,76.1
2015-05-05,TATASTEEL,33.57
2015-05-05,TCS,1257.5
2015-05-05,TITAN,385.7
2015-05-05,WIPRO,97.9
2015-05-06,AXISBANK,543.0
2015-05-06,BAJFINANCE,45.0
2015-05-06,JSWSTEEL,87.89
2015-05-06,KOTAKBANK,135.7
2015-05-06,NIFTY 50,8113.9
2015-05-06,NIFTY BANK,17523.0
2015-05-06,ONGC,186.15
2015-05-06,TATAPOWER,70.6
2015-05-06,TATASTEEL,26.87
2015-05-06,TCS,1231.5
2015-05-06,TITAN,366.0
2015-05-06,WIPRO,99.75
2015-05-07,AXISBANK,526.05
2015-05-07,TCS,1275.0
2015-05-08,AXISBANK,539.8
2015-05-08,BAJFINANCE,55.5
2015-05-08,JSWSTEEL,88.43
2015-05-08,KOTAKBANK,139.0
2015-05-08,NIFTY 50,8567.05
2015-05-08,NIFTY BANK,18939.6
2015-05-08,ONGC,162.6
2015-05-08,TATAPOWER,69.65
2015-05-08,TATASTEEL,22.13
2015-05-08,TCS,1265.0
2015-05-08,TITAN,321.05
2015-05-08,WIPRO,103.15
2015-05-10,BAJFINANCE,52.0
2015-05-10,JSWSTEEL,90.65
2015-05-10,KOTAKBANK,130.6
2015-05-10,NIFTY 50,8126.4
2015-05-10,NIFTY BANK,17677.95
2015-05-10,ONGC,144.7
2015-05-10,TATAPOWER,67.1
2015-05-10,TATASTEEL,18.52
2015-05-10,TITAN,330.25
2015-05-10,WIPRO,107.7
2015-05-11,AXISBANK,550.1
2015-05-11,BAJFINANCE,53.0
2015-05-11,JSWSTEEL,86.82
2015-05-11,KOTAKBANK,130.6
2015-05-11,NIFTY 50,7947.95
2015-05-11,NIFTY BANK,17013.45
2015-05-11,ONGC,151.3
2015-05-11,TATAPOWER,68.4
2015-05-11,TATASTEEL,18.42
2015-05-11,TCS,1279.5
2015-05-11,TITAN,348.5
2015-05-11,WIPRO,102.6
2015-05-12,AXISBANK,531.1
2015-05-12,TCS,1261.98
2015-05-13,AXISBANK,558.85
2015-05-13,TCS,1261.55
2015-05-14,AXISBANK,555.3
2015-05-14,TCS,1247.5
2015-05-15,AXISBANK,561.6
2015-05-15,TCS,1255.5
2015-05-18,AXISBANK,568.0
2015-05-18,TCS,1257.63
2015-05-19,AXISBANK,560.45
2015-05-19,TCS,1256.0
2015-05-20,AXISBANK,558.3
2015-05-20,TCS,1278.5
2015-05-21,AXISBANK,569.55
2015-05-21,TCS,1275.95
2015-05-22,AXISBANK,567.0
2015-05-22,TCS,1310.9
2015-05-25,AXISBANK,561.45
2015-05-25,TCS,1300.03
2015-05-26,AXISBANK,566.0
2015-05-26,TCS,1307.48
2015-05-27,AXISBANK,576.95
2015-05-27,TCS,1305.0
2015-05-28,AXISBANK,576.4
2015-05-28,TCS,1307.95
2015-05-29,AXISBANK,585.9
2015-05-29,TCS,1310.78
2015-06-01,AXISBANK,578.6
2015-06-01,TCS,1307.6
2015-06-02,AXISBANK,552.75
2015-06-02,BAJFINANCE,40.0
2015-06-02,JSWSTEEL,96.0
2015-06-02,KOTAKBANK,126.9
2015-06-02,NIFTY 50,8666.0
2015-06-02,NIFTY BANK,18788.3
2015-06-02,ONGC,211.35
2015-06-02,TATAPOWER,82.2
2015-06-02,TATASTEEL,32.35
2015-06-02,TCS,1302.5
2015-06-02,TITAN,420.5
2015-06-02,WIPRO,115.7
2015-06-03,AXISBANK,552.1
2015-06-03,TCS,1306.0
2015-06-04,AXISBANK,556.25
2015-06-04,BAJFINANCE,42.5
2015-06-04,JSWSTEEL,90.01
2015-06-04,KOTAKBANK,139.2
2015-06-04,NIFTY 50,8652.0
2015-06-04,NIFTY BANK,18593.45
2015-06-04,ONGC,191.7
2015-06-04,TATAPOWER,77.5
2015-06-04,TATASTEEL,27.51
2015-06-04,TCS,1299.58
2015-06-04,TITAN,404.1
2015-06-04,WIPRO,111.45
2015-06-05,AXISBANK,546.6
2015-06-05,BAJFINANCE,43.0
2015-06-05,JSWSTEEL,92.99
2015-06-05,KOTAKBANK,134.6
2015-06-05,NIFTY 50,8092.45
2015-06-05,NIFTY BANK,17778.95
2015-06-05,ONGC,198.35
2015-06-05,TATAPOWER,73.65
2015-06-05,TATASTEEL,32.39
2015-06-05,TCS,1288.75
2015-06-05,TITAN,384.2
2015-06-05,WIPRO,95.75
2015-06-07,BAJFINANCE,55.5
2015-06-07,JSWSTEEL,88.47
2015-06-07,KOTAKBANK,144.6
2015-06-07,NIFTY 50,8523.4
2015-06-07,NIFTY BANK,18838.8
2015-06-07,ONGC,185.7
2015-06-07,TATAPOWER,74.45
2015-06-07,TATASTEEL,25.75
2015-06-07,TITAN,356.85
2015-06-07,WIPRO,98.85
2015-06-08,AXISBANK,552.75
2015-06-08,BAJFINANCE,55.0
2015-06-08,JSWSTEEL,90.2
2015-06-08,KOTAKBANK,141.2
2015-06-08,NIFTY 50,8587.0
2015-06-08,NIFTY BANK,19030.05
2015-06-08,ONGC,163.5
2015-06-08,TATAPOWER,69.85
2015-06-08,TATASTEEL,21.94
2015-06-08,TCS,1290.0
2015-06-08,TITAN,327.0
2015-06-08,WIPRO,102.85
2015-06-09,AXISBANK,557.3
2015-06-09,TCS,1281.03
2015-06-10,AXISBANK,564.5
2015-06-10,BAJFINANCE,52.0
2015-06-10,JSWSTEEL,89.93
2015-06-10,KOTAKBANK,131.0
2015-06-10,NIFTY 50,8148.55
2015-06-10,NIFTY BANK,17604.75
2015-06-10,ONGC,148.8
2015-06-10,TATAPOWER,69.0
2015-06-10,TATASTEEL,18.66
2015-06-10,TCS,1300.0
2015-06-10,TITAN,347.8
2015-06-10,WIPRO,107.6
2015-06-11,AXISBANK,546.2
2015-06-11,BAJFINANCE,53.0
2015-06-11,JSWSTEEL,87.31
2015-06-11,KOTAKBANK,133.0
2015-06-11,NIFTY 50,7962.15
2015-06-11,NIFTY BANK,17113.55
2015-06-11,ONGC,152.35
2015-06-11,TATAPOWER,67.55
2015-06-11,TATASTEEL,17.93
2015-06-11,TCS,1282.15
2015-06-11,TITAN,352.75
2015-06-11,WIPRO,102.35
2015-06-12,AXISBANK,551.9
2015-06-12,TCS,1260.0
2015-06-15,AXISBANK,550.0
2015-06-15,TCS,1256.45
2015-06-16,AXISBANK,553.15
2015-06-16,TCS,1254.0
2015-06-17,AXISBANK,549.15
2015-06-17,TCS,1256.0
2015-06-18,AXISBANK,551.0
2015-06-18,TCS,1261.0
2015-06-19,AXISBANK,554.5
2015-06-19,TCS,1275.0
2015-06-22,AXISBANK,572.4
2015-06-22,TCS,1299.15
2015-06-23,AXISBANK,571.35
2015-06-23,TCS,1292.95
2015-06-24,AXISBANK,569.25
2015-06-24,TCS,1284.35
2015-06-25,AXISBANK,570.0
2015-06-25,TCS,1276.0
2015-06-26,AXISBANK,565.8
2015-06-26,TCS,1295.05
2015-06-29,AXISBANK,566.0
2015-06-29,TCS,1299.5
2015-06-30,AXISBANK,557.95
2015-06-30,TCS,1277.5
2015-07-01,AXISBANK,580.0
2015-07-01,TCS,1300.0
2015-07-02,AXISBANK,583.5
2015-07-02,TCS,1291.0
2015-07-03,AXISBANK,586.9
2015-07-03,TCS,1301.55
2015-07-04,BAJFINANCE,43.5
2015-07-04,JSWSTEEL,93.79
2015-07-04,KOTAKBANK,138.4
2015-07-04,NIFTY 50,8676.9
2015-07-04,NIFTY BANK,18504.1
2015-07-04,ONGC,192.15
2015-07-04,TATAPOWER,78.95
2015-07-04,TATASTEEL,29.12
2015-07-04,TITAN,405.4
2015-07-04,WIPRO,110.55
2015-07-05,BAJFINANCE,41.5
2015-07-05,JSWSTEEL,88.62
2015-07-05,KOTAKBANK,130.1
2015-07-05,NIFTY 50,8047.15
2015-07-05,NIFTY BANK,17335.6
2015-07-05,ONGC,191.05
2015-07-05,TATAPOWER,71.95
2015-07-05,TATASTEEL,32.44
2015-07-05,TITAN,369.0
2015-07-05,WIPRO,96.85
2015-07-06,AXISBANK,585.4
2015-07-06,TCS,1314.83
2015-07-07,AXISBANK,586.7
2015-07-07,BAJFINANCE,56.0
2015-07-07,JSWSTEEL,87.6
2015-07-07,KOTAKBANK,142.4
2015-07-07,NIFTY 50,8516.95
2015-07-07,NIFTY BANK,18811.75
2015-07-07,ONGC,183.85
2015-07-07,TATAPOWER,73.85
2015-07-07,TATASTEEL,25.65
2015-07-07,TCS,1311.95
2015-07-07,TITAN,360.95
2015-07-07,WIPRO,99.55
2015-07-08,AXISBANK,576.1
2015-07-08,BAJFINANCE,55.0
2015-07-08,JSWSTEEL,92.39
2015-07-08,KOTAKBANK,141.2
2015-07-08,NIFTY 50,8570.45
2015-07-08,NIFTY BANK,18925.7
2015-07-08,ONGC,170.15
2015-07-08,TATAPOWER,69.25
2015-07-08,TATASTEEL,22.08
2015-07-08,TCS,1293.75
2015-07-08,TITAN,333.45
2015-07-08,WIPRO,102.15
2015-07-09,AXISBANK,572.65
2015-07-09,BAJFINANCE,50.5
2015-07-09,JSWSTEEL,88.61
2015-07-09,KOTAKBANK,121.0
2015-07-09,NIFTY 50,7552.95
2015-07-09,NIFTY BANK,15780.15
2015-07-09,ONGC,135.85
2015-07-09,TATAPOWER,56.25
2015-07-09,TATASTEEL,17.54
2015-07-09,TCS,1264.68
2015-07-09,TITAN,332.25
2015-07-09,WIPRO,99.3
2015-07-10,AXISBANK,575.9
2015-07-10,BAJFINANCE,51.0
2015-07-10,JSWSTEEL,91.5
2015-07-10,KOTAKBANK,132.2
2015-07-10,NIFTY 50,8182.4
2015-07-10,NIFTY BANK,17618.6
2015-07-10,ONGC,156.65
2015-07-10,TATAPOWER,70.35
2015-07-10,TATASTEEL,19.54
2015-07-10,TCS,1233.95
2015-07-10,TITAN,345.5
2015-07-10,WIPRO,105.55
2015-07-12,BAJFINANCE,55.0
2015-07-12,JSWSTEEL,97.3
2015-07-12,KOTAKBANK,134.3
2015-07-12,NIFTY 50,7765.5
2015-07-12,NIFTY BANK,16952.4
2015-07-12,ONGC,135.0
2015-07-12,TATAPOWER,64.1
2015-07-12,TATASTEEL,20.28
2015-07-12,TITAN,366.65
2015-07-12,WIPRO,103.55
2015-07-13,AXISBANK,582.3
2015-07-13,TCS,1253.25
2015-07-14,AXISBANK,582.9
2015-07-14,TCS,1249.43
2015-07-15,AXISBANK,584.55
2015-07-15,TCS,1274.0
2015-07-16,AXISBANK,608.15
2015-07-16,TCS,1266.33
2015-07-17,AXISBANK,601.0
2015-07-17,TCS,1281.63
2015-07-20,AXISBANK,599.85
2015-07-20,TCS,1289.98
2015-07-21,AXISBANK,585.0
2015-07-21,TCS,1280.85
2015-07-22,AXISBANK,589.5
2015-07-22,TCS,1265.75
2015-07-23,AXISBANK,582.8
2015-07-23,TCS,1246.03
2015-07-24,AXISBANK,581.2
2015-07-24,TCS,1253.55
2015-07-27,AXISBANK,556.0
2015-07-27,TCS,1250.58
2015-07-28,AXISBANK,560.9
2015-07-28,TCS,1252.5
2015-07-29,AXISBANK,565.0
2015-07-29,TCS,1257.5
2015-07-30,AXISBANK,567.8
2015-07-30,TCS,1236.4
2015-07-31,AXISBANK,574.8
2015-07-31,TCS,1255.73
2015-08-03,AXISBANK,575.45
2015-08-03,TCS,1254.0
2015-08-04,AXISBANK,580.3
2015-08-04,BAJFINANCE,45.0
2015-08-04,JSWSTEEL,92.99
2015-08-04,KOTAKBANK,137.2
2015-08-04,NIFTY 50,8717.35
2015-08-04,NIFTY BANK,18418.55
2015-08-04,ONGC,188.45
2015-08-04,TATAPOWER,77.4
2015-08-04,TATASTEEL,29.32
2015-08-04,TCS,1253.5
2015-08-04,TITAN,408.0
2015-08-04,WIPRO,110.7
2015-08-05,AXISBANK,580.6
2015-08-05,BAJFINANCE,43.5
2015-08-05,JSWSTEEL,88.95
2015-08-05,KOTAKBANK,132.7
2015-08-05,NIFTY 50,8190.3
